pelicula_genero_id;pelicula_id;genero_id
1;1;9
2;1;12
3;2;5
4;2;12
5;2;17
6;3;1
7;3;3
8;3;14
9;3;6
10;4;1
11;4;12
12;4;10
13;5;5
14;5;7
15;5;9
16;5;12
17;6;5
18;6;7
19;6;12
20;6;15
21;7;5
22;7;7
23;7;12
24;7;17
25;8;9
26;8;12
27;8;20
28;9;5
29;9;7
30;9;12
31;10;12
32;10;17
33;10;19
34;11;1
35;11;3
36;11;6
37;12;21
38;12;16
39;12;20
40;13;5
41;13;12
42;13;15
43;14;1
44;14;3
45;14;12
46;14;6
47;15;12
48;16;5
49;16;12
50;16;15
51;16;19
52;17;1
53;17;3
54;17;6
55;18;5
56;18;12
57;18;19
58;18;4
59;19;11
60;20;2
61;20;3
62;20;7
63;20;13
64;20;14
65;21;1
66;21;3
67;21;7
68;21;6
69;22;11
70;22;15
71;23;2
72;23;3
73;23;12
74;23;13
75;23;18
76;24;12
77;24;15
78;25;7
79;25;12
80;26;1
81;26;3
82;26;7
83;26;6
84;27;9
85;27;12
86;27;20
87;28;1
88;28;3
89;28;14
90;28;6
91;29;5
92;29;7
93;29;12
94;30;5
95;30;7
96;30;12
97;31;5
98;31;9
99;31;12
100;32;2
101;32;1
102;32;3
103;32;7
104;32;13
105;32;14
106;32;6
107;33;2
108;33;3
109;33;7
110;33;9
111;33;13
112;33;16
113;34;5
114;34;12
115;34;17
116;34;19
117;35;12
118;35;19
119;35;6
120;36;12
121;36;20
122;37;12
123;37;19
124;37;6
125;38;7
126;38;12
127;38;4
128;39;1
129;39;12
130;39;4
131;40;7
132;41;5
133;41;9
134;41;12
135;41;10
136;42;9
137;42;12
138;42;20
139;43;12
140;43;17
141;44;2
142;44;3
143;44;7
144;44;13
145;44;14
146;45;12
147;45;4
148;46;1
149;46;3
150;46;6
151;46;20
152;47;7
153;47;9
154;47;12
155;48;12
156;49;11
157;50;1
158;50;3
159;50;12
160;50;6
161;51;12
162;51;16
163;51;6
164;51;20
165;52;12
166;53;11
167;54;1
168;54;9
169;54;20
170;55;7
171;55;9
172;56;12
173;56;21
174;57;5
175;57;9
176;57;12
177;58;12
178;59;5
179;59;12
180;60;2
181;60;1
182;60;3
183;60;13
184;60;14
185;60;6
186;61;9
187;61;6
188;62;12
189;63;5
190;63;12
191;63;15
192;64;2
193;64;1
194;64;9
195;64;12
196;64;16
197;64;6
198;64;20
199;65;2
200;65;3
201;65;7
202;65;13
203;65;14
204;65;18
205;66;1
206;66;12
207;66;10
208;67;12
209;67;16
210;67;20
211;68;9
212;68;12
213;68;21
214;69;7
215;69;14
216;69;17
217;69;19
218;70;1
219;70;9
220;70;20
221;71;7
222;71;9
223;71;18
224;72;12
225;72;4
226;73;9
227;73;12
228;73;15
229;73;20
230;74;9
231;74;12
232;75;5
233;75;12
234;75;19
235;76;2
236;76;3
237;76;7
238;76;13
239;76;14
240;76;21
241;76;19
242;77;5
243;77;12
244;77;15
245;78;1
246;78;9
247;78;20
248;79;9
249;79;12
250;80;9
251;80;12
252;81;16
253;81;6
254;81;20
255;82;7
256;82;18
257;82;19
258;83;2
259;83;1
260;83;3
261;83;7
262;83;12
263;83;13
264;83;14
265;83;6
266;84;2
267;84;1
268;84;7
269;84;9
270;84;13
271;84;16
272;84;6
273;84;20
274;85;2
275;85;3
276;85;7
277;85;13
278;85;14
279;85;21
280;86;2
281;86;3
282;86;7
283;86;12
284;86;13
285;86;14
286;86;18
287;87;2
288;87;3
289;87;7
290;87;13
291;87;14
292;87;21
293;88;2
294;88;1
295;88;3
296;88;7
297;88;13
298;88;14
299;89;5
300;89;12
301;89;10
302;90;3
303;90;12
304;90;15
305;90;20
306;91;1
307;91;12
308;92;12
309;92;16
310;92;19
311;92;4
312;93;9
313;93;12
314;94;1
315;94;12
316;94;6
317;94;20
318;95;1
319;95;9
320;95;12
321;95;17
322;96;5
323;96;7
324;96;12
325;96;15
326;97;7
327;97;12
328;98;7
329;98;9
330;98;12
331;99;12
332;99;19
333;100;3
334;100;12
335;100;20
336;101;12
337;101;14
338;101;21
339;101;20
340;102;2
341;102;3
342;102;12
343;102;13
344;102;14
345;102;18
346;103;12
347;103;10
348;104;7
349;105;2
350;105;3
351;105;12
352;105;13
353;105;14
354;105;18
355;105;16
356;105;19
357;106;12
358;106;10
359;107;2
360;107;3
361;107;7
362;107;13
363;107;14
364;107;18
365;108;5
366;108;12
367;109;1
368;109;6
369;109;20
370;110;1
371;110;3
372;110;12
373;110;14
374;111;2
375;111;13
376;111;14
377;111;17
378;111;18
379;112;1
380;112;3
381;112;14
382;113;12
383;114;3
384;114;6
385;115;5
386;115;12
387;115;13
388;115;18
389;115;19
390;116;2
391;116;3
392;116;7
393;116;12
394;116;13
395;116;14
396;116;17
397;117;12
398;117;16
399;117;4
400;118;12
401;119;12
402;119;13
403;119;14
404;119;19
405;120;12
406;120;16
407;121;5
408;121;12
409;122;3
410;122;5
411;122;12
412;122;15
413;122;4
414;123;12
415;123;10
416;124;1
417;124;5
418;124;12
419;124;10
420;125;12
421;125;6
422;125;20
423;126;12
424;126;19
425;127;2
426;127;1
427;127;3
428;127;7
429;127;13
430;127;14
431;127;6
432;128;7
433;128;12
434;128;10
435;129;12
436;129;20
437;130;12
438;130;17
439;131;2
440;131;3
441;131;12
442;131;13
443;132;7
444;132;18
445;132;19
446;133;5
447;133;7
448;133;12
449;134;7
450;134;13
451;134;19
452;135;12
453;135;4
454;136;11
455;136;17
456;137;2
457;137;8
458;137;3
459;137;7
460;137;13
461;137;14
462;137;18
463;138;5
464;138;12
465;138;15
466;138;4
467;139;1
468;139;12
469;139;10
470;140;1
471;140;3
472;140;6
473;141;2
474;141;12
475;141;13
476;141;14
477;141;18
478;141;19
479;142;7
480;142;17
481;143;9
482;143;12
483;144;2
484;144;7
485;144;13
486;144;14
487;144;18
488;145;1
489;145;3
490;145;20
491;146;12
492;146;17
493;147;7
494;147;18
495;147;19
496;148;1
497;148;3
498;148;6
499;148;20
500;149;7
501;149;12
502;149;19
503;150;5
504;150;12
505;150;15
506;150;19
507;151;1
508;151;3
509;151;20
510;152;1
511;152;3
512;152;14
513;152;6
514;153;1
515;153;3
516;153;14
517;153;6
518;154;1
519;154;6
520;154;20
521;155;7
522;155;13
523;155;19
524;156;3
525;156;5
526;156;12
527;156;4
528;157;7
529;157;9
530;157;12
531;157;16
532;157;20
533;158;2
534;158;3
535;158;7
536;158;12
537;158;13
538;159;12
539;159;16
540;159;20
541;160;12
542;160;19
543;161;1
544;161;3
545;161;20
546;162;11
547;163;9
548;163;12
549;163;20
550;164;12
551;164;15
552;164;20
553;165;2
554;165;1
555;165;3
556;165;7
557;165;12
558;165;13
559;165;14
560;166;2
561;166;3
562;166;7
563;166;13
564;166;18
565;167;7
566;167;12
567;167;19
568;168;9
569;168;12
570;168;20
571;169;11
572;169;5
573;169;17
574;170;12
575;170;10
576;171;1
577;171;7
578;171;13
579;171;14
580;172;1
581;172;3
582;172;20
583;173;7
584;173;12
585;173;19
586;174;9
587;174;12
588;174;16
589;174;20
590;175;1
591;175;9
592;175;14
593;176;1
594;176;12
595;176;6
596;176;20
597;177;7
598;177;13
599;177;17
600;178;1
601;178;3
602;178;12
603;178;14
604;178;19
605;179;1
606;179;3
607;179;20
608;180;2
609;180;3
610;180;7
611;180;13
612;180;14
613;180;18
614;180;19
615;181;21
616;181;16
617;181;20
618;182;3
619;182;7
620;182;9
621;182;12
622;183;21
623;183;16
624;183;20
625;184;9
626;184;12
627;184;6
628;184;20
629;185;2
630;185;3
631;185;7
632;185;13
633;185;17
634;185;18
635;186;1
636;186;12
637;186;10
638;187;12
639;188;12
640;188;16
641;189;12
642;189;10
643;190;1
644;190;3
645;190;20
646;191;2
647;191;7
648;191;13
649;191;18
650;192;5
651;192;9
652;192;12
653;193;12
654;193;15
655;194;7
656;194;12
657;195;1
658;195;3
659;195;14
660;195;6
661;196;5
662;196;12
663;196;15
664;196;17
665;197;2
666;197;3
667;197;7
668;197;12
669;197;13
670;197;14
671;198;1
672;198;3
673;198;20
674;199;12
675;199;19
676;199;4
677;200;12
678;200;21
679;200;16
680;200;20
681;201;12
682;202;1
683;202;3
684;202;6
685;203;12
686;204;2
687;204;7
688;204;13
689;204;14
690;204;21
691;205;1
692;205;3
693;205;20
694;206;12
695;207;5
696;207;12
697;207;15
698;208;1
699;208;3
700;208;7
701;208;6
702;209;2
703;209;3
704;209;7
705;209;13
706;209;14
707;209;18
708;210;1
709;210;3
710;210;14
711;211;7
712;211;18
713;211;19
714;212;1
715;212;3
716;212;20
717;213;12
718;214;7
719;215;1
720;215;3
721;215;14
722;215;6
723;216;1
724;216;3
725;216;16
726;216;20
727;217;3
728;217;7
729;217;9
730;217;13
731;217;14
732;217;16
733;218;11
734;218;5
735;218;10
736;219;1
737;219;3
738;219;20
739;220;5
740;220;12
741;220;10
742;221;1
743;221;3
744;221;20
745;222;9
746;222;12
747;222;20
748;223;1
749;223;3
750;223;20
751;224;2
752;224;3
753;224;7
754;224;13
755;224;14
756;224;18
757;225;1
758;225;3
759;225;6
760;226;1
761;226;5
762;226;12
763;226;10
764;227;2
765;227;1
766;227;3
767;227;14
768;227;6
769;228;3
770;228;7
771;228;9
772;229;1
773;229;3
774;229;14
775;230;1
776;230;3
777;230;16
778;230;20
779;231;9
780;231;12
781;231;20
782;232;1
783;232;3
784;232;12
785;232;6
786;233;1
787;233;3
788;233;16
789;234;7
790;234;12
791;234;19
792;235;7
793;236;1
794;236;3
795;236;20
796;237;5
797;237;12
798;237;15
799;237;20
800;238;9
801;238;12
802;239;12
803;239;19
804;239;6
805;239;20
806;240;2
807;240;7
808;240;13
809;240;14
810;240;18
811;241;9
812;241;12
813;241;16
814;241;20
815;242;2
816;242;12
817;242;14
818;242;19
819;243;1
820;243;3
821;243;14
822;243;6
823;244;7
824;244;12
825;244;13
826;245;1
827;245;3
828;245;6
829;246;12
830;246;17
831;246;19
832;247;2
833;247;1
834;247;3
835;247;12
836;247;14
837;247;6
838;248;11
839;248;13
840;249;5
841;249;7
842;249;12
843;249;18
844;250;9
845;250;12
846;251;1
847;251;3
848;251;12
849;251;14
850;252;1
851;252;3
852;252;14
853;253;7
854;253;12
855;253;6
856;254;12
857;254;16
858;254;20
859;255;2
860;255;3
861;255;13
862;255;14
863;255;18
864;256;1
865;256;3
866;256;20
867;257;7
868;257;12
869;258;12
870;258;19
871;258;4
872;259;1
873;259;9
874;259;12
875;259;20
876;260;12
877;260;22
878;261;9
879;261;12
880;261;20
881;262;7
882;262;12
883;262;19
884;263;1
885;263;3
886;263;6
887;263;20
888;264;5
889;264;12
890;264;15
891;265;1
892;265;9
893;265;12
894;265;16
895;265;20
896;266;5
897;266;12
898;266;17
899;266;18
900;267;12
901;268;12
902;269;2
903;269;3
904;269;7
905;269;12
906;269;13
907;269;14
908;270;5
909;270;12
910;270;19
911;271;9
912;271;12
913;271;18
914;271;19
915;272;7
916;272;9
917;272;12
918;272;20
919;273;12
920;273;14
921;273;21
922;273;19
923;274;1
924;274;3
925;274;20
926;275;7
927;275;12
928;275;18
929;276;3
930;276;13
931;276;14
932;277;12
933;277;16
934;277;20
935;278;12
936;278;14
937;278;21
938;278;16
939;278;20
940;279;2
941;279;3
942;279;7
943;279;13
944;279;18
945;279;19
946;280;12
947;280;17
948;281;3
949;281;12
950;281;13
951;281;15
952;282;1
953;282;3
954;282;12
955;282;14
956;282;15
957;282;20
958;283;9
959;283;12
960;283;20
961;284;2
962;284;1
963;284;3
964;284;9
965;284;12
966;284;14
967;284;16
968;285;1
969;285;3
970;285;14
971;285;21
972;285;6
973;286;1
974;286;12
975;287;1
976;287;3
977;287;20
978;288;9
979;288;12
980;288;20
981;289;7
982;289;12
983;289;19
984;290;1
985;290;3
986;290;7
987;290;9
988;290;13
989;290;14
990;290;16
991;290;6
992;291;7
993;291;12
994;291;19
995;292;1
996;292;12
997;293;9
998;293;12
999;293;16
1000;293;20
1001;294;9
1002;294;12
1003;294;20
1004;295;11
1005;295;2
1006;295;5
1007;295;12
1008;296;1
1009;296;3
1010;296;20
1011;297;2
1012;297;13
1013;297;14
1014;297;18
1015;298;1
1016;298;3
1017;298;7
1018;298;14
1019;298;6
1020;299;5
1021;299;12
1022;299;10
1023;300;9
1024;300;12
1025;301;12
1026;301;19
1027;302;5
1028;302;12
1029;302;17
1030;303;1
1031;303;3
1032;303;15
1033;304;1
1034;304;3
1035;304;20
1036;305;1
1037;305;3
1038;305;6
1039;306;1
1040;306;3
1041;306;6
1042;307;2
1043;307;7
1044;307;13
1045;307;18
1046;308;9
1047;308;12
1048;309;21
1049;310;2
1050;310;3
1051;310;7
1052;310;13
1053;310;14
1054;311;2
1055;311;1
1056;311;3
1057;311;13
1058;311;14
1059;311;6
1060;312;1
1061;312;3
1062;312;20
1063;313;21
1064;313;16
1065;313;6
1066;313;20
1067;314;2
1068;314;1
1069;314;3
1070;314;14
1071;314;6
1072;315;1
1073;315;3
1074;315;14
1075;315;6
1076;316;9
1077;316;12
1078;317;3
1079;317;5
1080;317;12
1081;317;15
1082;317;4
1083;318;12
1084;319;11
1085;319;10
1086;320;1
1087;320;3
1088;320;20
1089;321;12
1090;321;16
1091;321;19
1092;321;20
1093;322;5
1094;322;9
1095;322;12
1096;322;20
1097;323;11
1098;323;5
1099;323;15
1100;324;1
1101;324;12
1102;324;6
1103;324;20
1104;325;1
1105;325;3
1106;325;20
1107;326;21
1108;326;16
1109;326;20
1110;327;1
1111;327;3
1112;327;6
1113;328;1
1114;328;3
1115;328;12
1116;328;6
1117;329;1
1118;329;3
1119;329;20
1120;330;7
1121;330;12
1122;331;3
1123;331;7
1124;331;13
1125;332;12
1126;332;21
1127;332;18
1128;332;20
1129;333;2
1130;333;12
1131;333;13
1132;333;14
1133;333;18
1134;334;1
1135;334;12
1136;334;4
1137;335;1
1138;335;3
1139;335;14
1140;335;6
1141;336;1
1142;336;3
1143;336;14
1144;336;6
1145;337;7
1146;337;9
1147;337;12
1148;337;16
1149;337;20
1150;338;1
1151;338;12
1152;338;15
1153;338;20
1154;339;1
1155;339;3
1156;339;6
1157;340;1
1158;340;3
1159;340;14
1160;340;6
1161;341;1
1162;341;3
1163;341;12
1164;341;15
1165;341;4
1166;342;7
1167;342;12
1168;342;15
1169;343;7
1170;343;12
1171;344;1
1172;344;7
1173;344;14
1174;344;19
1175;345;12
1176;346;1
1177;346;3
1178;346;7
1179;346;6
1180;347;2
1181;347;3
1182;347;13
1183;347;14
1184;347;16
1185;348;12
1186;348;10
1187;349;12
1188;349;20
1189;350;12
1190;351;5
1191;351;12
1192;351;15
1193;351;19
1194;352;12
1195;352;14
1196;352;21
1197;353;5
1198;353;12
1199;353;15
1200;353;20
1201;354;12
1202;354;19
1203;355;1
1204;355;3
1205;355;20
1206;356;1
1207;356;3
1208;356;7
1209;356;6
1210;357;7
1211;357;12
1212;358;1
1213;358;3
1214;358;14
1215;358;6
1216;359;1
1217;359;3
1218;359;7
1219;359;6
1220;360;7
1221;360;12
1222;360;19
1223;361;2
1224;361;1
1225;361;3
1226;361;7
1227;361;13
1228;361;6
1229;362;2
1230;362;1
1231;362;3
1232;362;13
1233;362;14
