pelicula_persona_id;pelicula_id;persona_id;rol_id
1;1;1;1
2;1;2;1
3;2;3;1
4;3;4;1
5;4;5;1
6;5;6;1
7;6;7;1
8;7;8;1
9;8;9;1
10;9;10;1
11;10;11;1
12;11;12;1
13;11;13;1
14;12;14;1
15;13;15;1
16;14;16;1
17;14;17;1
18;15;18;1
19;16;19;1
20;17;20;1
21;18;21;1
22;19;22;1
23;20;23;1
24;21;24;1
25;22;25;1
26;23;26;1
27;24;27;1
28;25;28;1
29;26;29;1
30;27;30;1
31;28;31;1
32;29;32;1
33;30;33;1
34;31;34;1
35;32;35;1
36;32;36;1
37;32;37;1
38;33;38;1
39;33;39;1
40;33;40;1
41;34;41;1
42;35;42;1
43;36;43;1
44;37;44;1
45;38;45;1
46;39;46;1
47;40;47;1
48;41;48;1
49;42;49;1
50;42;50;1
51;43;51;1
52;44;52;1
53;45;53;1
54;46;54;1
55;47;55;1
56;48;56;1
57;49;57;1
58;50;43;1
59;51;58;1
60;52;59;1
61;53;60;1
62;54;61;1
63;55;62;1
64;55;63;1
65;56;64;1
66;57;53;1
67;58;65;1
68;59;9;1
69;60;66;1
70;60;67;1
71;61;64;1
72;62;9;1
73;63;68;1
74;64;69;1
75;65;70;1
76;65;71;1
77;66;72;1
78;67;73;1
79;68;74;1
80;69;75;1
81;70;61;1
82;71;76;1
83;72;64;1
84;73;77;1
85;74;78;1
86;75;9;1
87;76;79;1
88;77;80;1
89;78;61;1
90;79;81;1
91;80;33;1
92;80;82;1
93;81;83;1
94;82;84;1
95;83;85;1
96;84;86;1
97;85;79;1
98;86;87;1
99;86;88;1
100;87;79;1
101;88;89;1
102;88;90;1
103;89;91;1
104;90;92;1
105;91;93;1
106;92;94;1
107;93;34;1
108;94;43;1
109;95;95;1
110;96;96;1
111;97;97;1
112;98;75;1
113;99;98;1
114;100;99;1
115;101;100;1
116;102;101;1
117;102;102;1
118;102;103;1
119;103;104;1
120;104;105;1
121;105;106;1
122;105;107;1
123;106;108;1
124;107;109;1
125;107;110;1
126;107;111;1
127;107;112;1
128;107;113;1
129;107;114;1
130;107;115;1
131;108;116;1
132;109;58;1
133;110;117;1
134;111;118;1
135;111;119;1
136;111;120;1
137;111;109;1
138;111;121;1
139;111;122;1
